id,name,body,background,category,category2,type,thc
133,Sputnik,Silver,Black,-,Space / Spooky,Mostly Sativa,19
134,Mint Chocolate Chip,Green / Brown,Blue / Green,Chocolate,Food / Sweets,Hybrid,20
135,Black Cherry Soda,Red,Pink,-,Food / Fruits / Sweets,Mostly Sativa,20
137,Baby Boom,Green,Blue / Green,-,OTHER,Hybrid,19
138,Purple Cheese,Purple / Yellow,Green,Cheese,Food / Cheese,Hybrid,20
139,ICED Grapefruit,Orange,Blue,-,Food / Fruits,Mostly Sativa,22
140,Watermelon Zkittlez,Multi-Color,Blue / Green,Zkittlez,Food / Fruits / Sweets / Rainbows,Mostly Indica,25
141,Lemon Bananas,Yellow,Orange,-,Food / Fruits,Hybrid,25
142,Sasquatch,Green,Green,-,Fantasy / Spooky,Hybrid,30
143,Blackberry Kush,Purple,Green,Kush,Food / Fruits,Mostly Indica,16
144,Blueberry Pancakes,Yellow / Blue,Purple,-,Food / Fruits / Sweets,Mostly Indica,20
145,Alien Sour Apple,Green,Green,-,Food / Fruits / Aliens / Space,Hybrid,26
146,Strawberry Lemonade,Red / Yellow,Blue,-,Food / Fruits / Sweets,Hybrid,21
147,Chocolate Fondue,Brown,Green,Chocolate,Food / Sweets,Mostly Sativa,20
148,Purple Martian Kush,Purple,Orange,Purple / Kush,Aliens / Space,Mostly Indica,20
149,Blackberry Rhino,Purple,Pink,-,Food / Fruits / Animals,Hybrid,16
150,Einstein’s Pipe,Green / Grey,Green,-,OTHER,Mostly Indica,26
152,Dark Side of the Moon,Black,Black,-,Space,Mostly Indica,20
153,Pink Mango,Pink / Orange,Pink,-,Food / Fruits,Mostly Sativa,17
154,Vanilla Gorilla,Yellow,Green,-,Food / Sweets / Animals / Plants,Mostly Indica,25
155,Blackberry Lime Haze,Purple / Green,Purple,Haze,Food / Fruits,Mostly Sativa,22
156,Truffle Butter,Yellow / Brown,Green,-,Food,Mostly Indica,20
158,Fire OG,Orange,Purple,OG,OTHER,Mostly Indica,20
160,Acid I,Multi-Color,Blue / Green,-,Trippy,Mostly Indica,16
162,Citral Glue,Yellow,Green,Glue,Food / Fruits,Mostly Indica,21
163,Purple Dragon,Multi-Color,Pink,Purple,Fantasy,Hybrid,21
164,Mango Sapphire,Blue / Yellow,Purple,-,Food / Fruits / Gemstones,Mostly Indica,21
165,Tangerine Dream,Orange,Green,-,Food / Fruits,Hybrid,25
166,Alien Technology,Green,Black,-,Aliens / Space,Mostly Indica,16
167,Fat Banana,Yellow,Green,-,Food / Fruits,Mostly Indica,26
168,Jurassic Haze,Green,Green,Haze,Animals,Mostly Sativa,22
169,Kryptonite,Green,Black,-,Fantasy / Gemstones,Mostly Indica,24
170,Blueberry Cheesecake,Blue / Yellow,Purple,Cheese,Food / Fruits / Sweets / Cheese,Mostly Sativa,22
171,Coconut OG,Brown,Green,OG,Food / Fruits,Mostly Indica,23
172,Alien Apple Warp,Blue / Green,Black,-,Food / Fruits / Aliens / Space,Mostly Indica,26
173,Pineapple Cheese,Brown / Brown,Green,Cheese,Food / Fruits / Cheese,Mostly Indica,22
174,Banana Mango,Orange / Yellow,Purple,-,Food / Fruits,Mostly Sativa,21
176,Strawberry Marshmallow,White / Red,Pink,-,Food / Fruits / Sweets,Hybrid,24
177,Infinity Bud,Green,Green,-,OTHER,Hybrid,21
178,Octopussy,Green,Green,-,Animals,Hybrid,19
179,Space Lemon,Yellow,Black,-,Food / Fruits / Space,Hybrid,21
180,Rainbow Truffle,Multi-Color,Purple,-,Food / Trippy / Rainbows,Mostly Indica,26
181,Light Speed,Green,Black,-,Space / Neon,Mostly Indica,29
182,Peanut Butter Bears,Brown / Orange,Orange / Yellow,-,Food / Sweets / Animals,Mostly Indica,26
183,Biohazard,Green,Green,-,Neon,Hybrid,22
184,Neon Super Skunk,Green,Black,Skunk,Animals / Neon,Mostly Indica,20
185,Unicorn Bacon,Multi-Color,Pink / Orange,-,Food / Fantasy,Mostly Sativa,26
186,Supernova,Green,Black,-,Space / Neon,Mostly Indica,25
187,Rocket Banana,Yellow,Black,-,Food / Fruits / Space,Mostly Indica,26
188,Cosmic Brain,Green,Black,-,Space / Neon,Mostly Indica,11
189,Area 51,Green,Orange / Yellow,-,Aliens / Space,Mostly Sativa,17
190,Acid II,Multi-Color,Multi-Color,-,Trippy,Mostly Indica,20
191,Tiger Melon,Orange,Orange / Yellow,-,Food / Fruits / Animals,Hybrid,20
192,Dead Banana,Yellow,Blue,-,Food / Fruits / Spooky,Hybrid,21
