id,name,body,background,category,category2,type,thc
431,Cheese Quake,Yellow,Blue / Green,-,Food / Cheese,Mostly Sativa,20
432,Girl Scout Yeti,White,Green,-,Fantasy / Spooky,???,???
433,Melting Strawberries,Red,Purple / Pink,-,Food / Fruits,Hybrid,20
434,Alien Rock Candy, Multi-Color,Black,-,Food / Sweets / Aliens / Space,Mostly Indica,25
435,Gorilla Mango,Orange,Blue / Green,-,Food / Fruits / Animals,???,???
436,Rainbow Cake, Multi-Color,Purple,-,Food / Sweets / Rainbows,Hybrid,25
437,Dragon Fruit,Red / Yellow,Green,-,Food / Fruits / Fantasy,Mostly Sativa,21
438,Unicorn Tears, Multi-Color,Pink,-,Fantasy,Hybrid,19
439,Cherry Kiss,Red,Green,-,Food / Fruits,Hybrid,19
440,The Toad,Green,Blue / Green,-,Animals,???,???
441,Acid Diesel Hog, Multi-Color,Green,Diesel,Trippy / Animals,???,???
442,Banana Candy, Multi-Color,Pink / Orange,-,Food / Fruits / Sweets,Mostly Indica,19
443,Emerald Cookies,Brown,Green,Cookies,Food / Sweets / Gemstones,Hybrid,20
444,Milk Bone,White,Green,-,Food / Spooky,???,???
445,Aliens on Moonshine,Yellow,Black,-,Aliens / Space,Mostly Indica,20
446,Bootylicious,Pink,Pink,-,OTHER,Hybrid,20
447,Hell Monkey,Green,Green,-,Animals / Spooky,Mostly Indica,25
448,Bloody Skunk,Red,Red,Skunk,Animals / Spooky,Hybrid,19
449,GMO Zkittlez, Multi-Color,Pink / Orange,Zkittlez,Food / Sweets,Mostly Indica,25
450,Khalifa Mints,Blue,Blue / Green,-,Food / Sweets,Hybrid,25
451,Alcoholic Alligator,Green,Green,-,OTHER,Hybrid,25
452,Dynamite Cookies,Brown,Green,Cookies,Food / Sweets,???,???
453,Crystal Gelato,Brown,Blue / Green,Gelato,Food / Sweets / Gemstones / Ice Cream,Mostly Indica,19
454,Coffee Kush,Brown,Purple,Kush,Food,Mostly Indica,22
455,Phishhead Kush,Grey,Green,Kush,Animals / Spooky,Mostly Indica,20
456,Double Rainbow, Multi-Color,Blue / Green,-,Rainbows,Mostly Indica,20
457,Moon Train,Grey,Black,-,Space,Mostly Sativa,22
458,Shark Widow,Green,Green / Grey,-,Animals,Mostly Indica,19
459,Monolith,Grey,Green,-,Spooky,Mostly Indica,21
460,Vanilla Bean,Brown / Yellow,Brown,-,Food / Sweets / Plants,???,???
461,Cherry Zkittlez, Multi-Color,Purple / Pink,Zkittlez,Food / Fruits / Sweets,Hybrid,19
462,Rainbow Crush, Multi-Color,Green,-,Rainbows,Hybrid,27
463,Strawberry Moon,Red,Black,-,Food / Fruits / Space,Mostly Indica,22
464,Fluidic Space, Multi-Color,Blue / Green,-,Space,Hybrid,19
465,Candy Glue, Multi-Color,Purple / Pink,Glue,Food / Sweets,Mostly Sativa,24
466,AK Choco Kush,Brown,Pink / Orange,Kush,Food / Sweets,Mostly Indica,21
467,Rainbow Zkittlez, Multi-Color,Purple,Zkittlez,Food / Sweets / Rainbows,Hybrid,19
468,Ancient Kush,Yellow,Yellow,Kush,Spooky,Mostly Indica,19
469,Grizzly Kush,Green,Green,Kush,Animals,Hybrid,20
470,Rainband,Green,Green / Blue,-,OTHER,Mostly Indica,30
471,Space Cowboy,Grey / Blue,Black,-,Space,Hybrid,19
472,Shiva Skunk,Orange / Gold,Purple,Skunk,Animals,Mostly Indica,19
473,Diablo Wind,Green,Green,-,Spooky,Mostly Sativa,19
474,Space Cake, Multi-Color,Black,-,Food / Sweets / Space,Hybrid,22
475,Mint Titties,Blue,Green,-,Food / Sweets,Hybrid,23
476,Pink Moon,Pink,Black,-,Space,Hybrid,25
477,Rainbow Punch, Multi-Color,Purple,-,Rainbows,Hybrid,25
478,Bomb Cyclone,Grey,Grey / Green,-,OTHER,Hybrid,25
479,Super Skunk,Purple,Green,Skunk,Animals,,
480,Apple Rock Candy,Pink,Purple,-,Food / Fruits / Sweets,,
